nome,preco_hoje,stock_hoje,data_hoje,preco_ontem,stock_ontem,data_ontem
Computador King Mod Gamer-PC Powered by MSI - Mach 6 Ryzen 7 9800X3D 32GB DDR5 2TB RTX 5080 WiFi W11,"2 699,90 €",Em stock,2025-07-08,"2 699,90 €",Em stock,2025-07-07
Computador AURA Gamer-PC Intel i5 14400F 32GB DDR5 1TB RTX 5060 Ti WiFi W11,"999,90 €",Em stock,2025-07-08,"999,90 €",Em stock,2025-07-07
Computador King Mod Gamer-PC x ASUS Impakt Edition Intel i5 14400F 32GB DDR4 1TB RTX 4060 WiFi W11,"849,90 €",Em stock,2025-07-08,"849,90 €",Em stock,2025-07-07
Computador King Mod Gamer-PC Powered by MSI Ryzen 7 7800X3D 32GB DDR5 1TB RTX 5070 WiFi W11,"1 849,90 €",Em stock,2025-07-08,"1 849,90 €",Em stock,2025-07-07
Computador King Mod Gamer-PC Ryzen 7 7800X3D 32GB DDR5 2TB RX 9070 XT WiFi W11,"2 199,90 €",Em stock,2025-07-08,"2 199,90 €",Em stock,2025-07-07
Computador King Mod Gamer-PC Mach 5G Ryzen 5 7600X3D 32GB DDR5 2TB RTX 5070 Ti WiFi W11,"1 849,90 €",Em stock,2025-07-08,"1 849,90 €",Em stock,2025-07-07
Computador King Mod Gamer-PC Mach 5R Ryzen 5 7600X3D 32GB DDR5 2TB RX 9070 XT WiFi W11,"1 749,90 €",Em stock,2025-07-08,"1 749,90 €",Em stock,2025-07-07
Computador King Mod Gamer-PC x iCUE Impakt Edition Ryzen 7 9800X3D 64GB DDR5 2TB RTX 5090 WiFi W11,"4 799,90 €",Esgotado,2025-07-08,"4 799,90 €",Esgotado,2025-07-07
Computador AURA Gamer-PC Ryzen 5 7500F 32GB DDR5 1TB RTX 4070 SUPER WiFi W11,"1 199,90 €",Esgotado,2025-07-08,"1 199,90 €",Esgotado,2025-07-07
Computador King Mod Gamer-PC Ryzen 7 9800X3D 64GB DDR5 2TB RTX 5090 WiFi W11 V2,"5 299,90 €",Esgotado,2025-07-08,"5 299,90 €",Esgotado,2025-07-07
Computador King Mod Gamer-PC Powered by ASUS Ryzen 7 9800X3D 32GB DDR5 2TB RTX 5070 Ti WiFi W11,"2 799,90 €",Esgotado,2025-07-08,"2 799,90 €",Esgotado,2025-07-07
Computador King Mod Gamer-PC Ryzen 7 9800X3D 64GB DDR5 2TB RTX 5090 WiFi W11,"5 499,90 €",Esgotado,2025-07-08,"5 499,90 €",Esgotado,2025-07-07
Computador AURA Limited-PC Intel i3 13100F 8GB DDR4 500GB RX 6600 W11,"549,90 €",Esgotado,2025-07-08,"549,90 €",Esgotado,2025-07-07
Computador King Mod Limited-PC Ryzen 7 9700X 32GB DDR5 1TB RTX 5070 Ti WiFi W11,"2 799,90 €",Esgotado,2025-07-08,"2 799,90 €",Esgotado,2025-07-07
Computador AURA Gamer-PC TEAM 7 EDITION Ryzen 5 7500F 32GB DDR5 1TB RTX 5060 WiFi W11,"899,90 €",Esgotado,2025-07-08,"899,90 €",Esgotado,2025-07-07
